PACKAGENAME	VERSION	DEPENDS_LIST	PROVIDES_LIST
ni-cabled-pcie	19.9.9.9	"ni-mdfsupport (>= 19.0.0),ni-metauninstaller (>= 19.0.0),ni-msvcrt-2015 (>= 14.1.5)"	"6a17ed9f-8c3a-4d81-91ad-7af5a7cb8f51 (= 19.00.49152),e2cfc358-ea97-42b7-8400-4dc41fbda64a (= 19.00.49152),ni-cabled-pcie (= 19.0.0.49152-0+f0)"
ni-controllerdriver	19.9.9.9	"ni-apal-errors (>= 19.0.0),ni-mdfsupport (>= 19.0.0),ni-metauninstaller (>= 19.0.0),ni-msvcrt-2015 (>= 14.1.5),ni-pxiplatformsoftware-errors (>= 19.0.0),ni-sysapi (>= 19.0.0)"	"cd66020d-7298-4330-899f-250a552ac28a (= 19.00.49153),f95a6064-12e6-4e41-931c-4d1b8de33077 (= 19.00.49153),ni-controllerdriver (= 19.0.0.49153-0+f1)"
ni-ede	19.9.9.9	"ni-mdfsupport (>= 19.0.0),ni-metauninstaller (>= 19.0.0),ni-msvcrt-2015 (>= 14.1.5)"	"2d8d8dac-21c1-4de4-9cf8-55c2479c822a (= 19.00.49153),b12a3b79-1ca1-4743-95ea-c1b3995b6dc2 (= 19.00.49153),ni-ede (= 19.0.0.49153-0+f1)"
ni-pxiplatformservices-runtime	19.9.9.9	"ni-apal-errors (>= 19.0.0),ni-apxipm2 (>= 19.1.0),ni-controllerdriver (>= 19.5.0),ni-mdfsupport (>= 19.5.0),ni-metauninstaller (>= 19.5.0),ni-mru (>= 19.5.0),ni-msvcrt-2015 (>= 14.1.5),ni-mximanager (>= 19.5.0),ni-pal (>= 19.0.0),ni-pcibrd (>= 19.5.0),ni-pxiplatformframework (>= 19.5.0),ni-pxiplatformservices-expert (>= 19.5.0),ni-pxiplatformsoftware-errors (>= 19.0.0),ni-qpxi (>= 19.5.0),ni-roco (>= 19.5.0),ni-svcloc (>= 19.5.0),ni-sysapi (>= 19.5.0)"	"2e41587c-0be1-455f-8ce6-671921397484 (= 19.50.49152),74cd996e-746d-4a5e-b7d9-4ed5fbafcf0d (= 19.50.49152),a0865ca8-e3fc-4fa2-ae33-3b027dafff94 (= 19.50.49152),c3b27671-335d-4816-b189-3eac7e5db5e7 (= 19.50.49152),ni-pxiplatformservices-runtime (= 19.5.0.49152-0+f0)"
ni-rio-fpga-driver	19.9.9.9	"ni-apal-errors (>= 19.0.0),ni-apxipm2 (>= 19.1.0),ni-fpga-errorcodes (>= 19.0.0) | system-windows-x86 (>= 19.5.0),ni-fpga-errorcodes-x86 (>= 19.0.0),ni-help-assistant (>= 2.2.0),ni-mdfsupport (>= 19.0.0),ni-metauninstaller (>= 19.0.0),ni-msvcrt-2015 (>= 14.1.5),ni-mximanager (>= 19.5.0),ni-p2p (>= 19.5.0),ni-pal-errors (>= 19.5.0),ni-pxiplatformframework (>= 19.5.0),ni-pxiplatformservices-runtime (>= 19.5.0),ni-qpxi (>= 19.5.0),ni-rio-fpga-ids (>= 19.0.0),ni-rpc (>= 19.0.0),ni-sysapi (>= 19.5.0),ni-syscfg-runtime (>= 19.5.0)"	"277be997-a072-43af-a8a0-a0db8e644d67 (= 17.60.49152),282292ef-931f-4673-9cc5-7ab55de6a3dc (= 18.50.49152),4f2ce6a9-3e31-407e-aa8c-72f9db28005c (= 16.01.49152),6ae00338-15ad-4b40-9638-b81c67a13c47 (= 16.01.49152),6fbf47a0-7d89-4b3b-bd6e-81bb3c52964b (= 19.50.49152),7fac66ca-f8cf-446c-9865-e70fcce0cf4e (= 19.50.49152),8e355a25-a351-48e9-bb18-79e69ae45ce6 (= 19.50.49152),aa6d11d5-38b2-44fa-b229-e9981f544c5e (= 18.50.49152),d166a7e8-3645-4e17-8744-37ab4e8d8f08 (= 19.50.49152),dafe1f51-cc46-48d7-bc50-35823f56e8d4 (= 17.60.49152),dc26b58e-a453-4a11-bedb-300b0f2dddbf (= 19.50.49152),ni-rio-fpga-driver (= 19.5.0.49152-0+f0)"
ni-rio-mite	19.9.9.9	"ni-mdfsupport (>= 19.0.0),ni-metauninstaller (>= 19.0.0),ni-rio-fpga-driver (>= 19.0.0)"	"87f3ef1c-1337-454f-8ee9-026ba202efb9 (= 19.00.49152),ac0e48aa-ab54-43cc-983f-eaa8c7ec4706 (= 19.00.49152),ni-rio-mite (= 19.0.0.49152-0+f0)"
ni-serial-runtime	19.9.9.9	"ni-apal-errors (>= 19.0.0),ni-apxipm (>= 19.0.0),ni-mdfsupport (>= 19.5.0),ni-metauninstaller (>= 19.5.0),ni-msvcrt-2008 (>= 9.1.1),ni-msvcrt-2015 (>= 14.1.5),ni-mxs (>= 19.5.0),ni-sysapi (>= 19.5.0)"	"01d82f43-b48d-46ff-8601-fc4faae20f41 (= 19.50.49152),664a2b91-5e36-4102-ad42-e1dd3d61c77b (= 19.50.49152),ni-visa-optional-runtime (= 19.50.49152),ni-serial-runtime (= 19.5.0.49152-0+f0)"
ni-usblan	19.9.9.9	"ni-mdfsupport (>= 19.0.0),ni-metauninstaller (>= 19.0.0),ni-msvcrt-2015 (>= 14.1.5)"	"0502156f-9595-4b3f-a77e-6cb5bf2e83f3 (= 19.00.49153),75585ea1-be50-47ab-916b-5a692c7178c8 (= 19.00.49153),ni-usblan (= 19.0.0.49153-0+f1)"
ni-usbvcp	19.9.9.9	"ni-mdfsupport (>= 19.0.0),ni-metauninstaller (>= 19.0.0)"	"22e8dece-b381-4d60-bc2c-b3ff4fdde7f3 (= 6.76.49152),eaa95c3c-7947-46c2-b343-9a89ad8a409f (= 6.76.49152),ni-usbvcp (= 6.7.6.49152-0+f0)"
ni-visa-shared-components	19.9.9.9	"ni-mdfsupport (>= 17.0.0),ni-metauninstaller (>= 17.0.0),ni-msiproperties (>= 17.0.0),ni-msvcrt-2015 (>= 14.1.3)"	"0dcd4bd3-ae42-4039-87a8-119691d0145e (= 5.80.49152),8ccc51ba-c647-4407-be48-b50dc660fc44 (= 5.80.49152),f9256d4b-1fec-4b31-b57f-a6cd6795137e (= 5.80.49152),ni-visa-shared-components (= 5.8.0.49152-0+f0)"
